Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
43,Dalton Schultz,DAL,24,TE,16,14,89,63,0.708,615,9.8,4,33,28,6.9,3.9,38.4,1
44,Chase Claypool,PIT,22,wr,16,6,109,62,0.569,873,14.1,9,41,84,8,3.9,54.6,3
45,Noah Fant,DEN,23,TE,15,14,93,62,0.667,673,10.9,3,34,37,7.2,4.1,44.9,0
46,Darnell Mooney,CHI,23,wr,16,9,98,61,0.622,631,10.3,4,33,53,6.4,3.8,39.4,1
47,Emmanuel Sanders,NOR,33,WR,14,5,82,61,0.744,726,11.9,5,33,51,8.9,4.4,51.9,1
48,Brandon Aiyuk,SFO,22,WR,12,11,96,60,0.625,748,12.5,5,42,49,7.8,5,62.3,0
49,Hunter Henry,LAC,26,TE,14,14,93,60,0.645,613,10.2,4,35,33,6.6,4.3,43.8,0
50,Jamison Crowder,NYJ,27,WR,12,7,89,59,0.663,699,11.8,6,32,69,7.9,4.9,58.3,0
51,Mike Davis,CAR,27,RB,15,12,70,59,0.843,373,6.3,2,17,23,5.3,3.9,24.9,1
52,Michael Gallup,DAL,24,WR,16,15,105,59,0.562,843,14.3,5,44,55,8,3.7,52.7,0
53,Jakobi Meyers,NWE,24,wr,14,9,81,59,0.728,729,12.4,0,37,35,9,4.2,52.1,1
54,Mark Andrews,BAL,25,,14,2,88,58,0.659,701,12.1,7,37,39,8,4.1,50.1,2
55,Marquise Brown,BAL,23,WR,16,14,100,58,0.58,769,13.3,8,35,70,7.7,3.6,48.1,0
56,Laviska Shenault Jr.,JAX,22,WR,14,12,79,58,0.734,600,10.3,5,33,36,7.6,4.1,42.9,0
57,Eric Ebron,PIT,27,te,15,9,91,56,0.615,558,10,5,30,27,6.1,3.7,37.2,1
58,T.Y. Hilton,IND,31,WR,15,15,93,56,0.602,762,13.6,5,42,50,8.2,3.7,50.8,0
59,Hayden Hurst,ATL,27,te,16,9,88,56,0.636,571,10.2,6,35,42,6.5,3.5,35.7,0
60,Hunter Renfrow,LVR,25,wr,16,6,77,56,0.727,656,11.7,2,32,53,8.5,3.5,41,2
61,Keelan Cole,JAX,27,wr,16,5,88,55,0.625,642,11.7,5,34,51,7.3,3.4,40.1,0
62,Austin Ekeler,LAC,25,RB,10,10,65,54,0.831,403,7.5,2,20,28,6.2,5.4,40.3,1
63,Larry Fitzgerald,ARI,37,WR,13,13,72,54,0.75,409,7.6,1,25,18,5.7,4.2,31.5,0
64,David Montgomery,CHI,23,RB,15,14,68,54,0.794,438,8.1,2,25,28,6.4,3.6,29.2,1
65,DJ Chark,JAX,24,WR,13,12,93,53,0.57,706,13.3,5,37,73,7.6,4.1,54.3,0
66,Chase Edmonds,ARI,24,,16,2,67,53,0.791,402,7.6,4,21,30,6,3.3,25.1,2
67,Will Fuller,HOU,26,WR,11,11,75,53,0.707,879,16.6,8,38,77,11.7,4.8,79.9,0
68,Mike Gesicki,MIA,25,TE,15,9,85,53,0.624,703,13.3,6,36,70,8.3,3.5,46.9,0
69,Greg Ward,PHI,25,wr,16,10,79,53,0.671,419,7.9,6,24,32,5.3,3.3,26.2,2
70,Ezekiel Elliott,DAL,25,RB,15,15,71,52,0.732,338,6.5,2,20,19,4.8,3.5,22.5,6
71,Jerry Jeudy,DEN,21,WR,16,14,113,52,0.46,856,16.5,3,39,92,7.6,3.3,53.5,2
72,Josh Reynolds,LAR,25,WR,16,13,81,52,0.642,618,11.9,2,29,40,7.6,3.3,38.6,2
73,Robert Tonyan,GNB,26,TE,16,8,59,52,0.881,586,11.3,11,33,45,9.9,3.3,36.6,0
74,Julio Jones,ATL,31,WR,9,9,68,51,0.75,771,15.1,3,36,44,11.3,5.7,85.7,0
75,Tim Patrick,DEN,27,WR,15,15,79,51,0.646,742,14.5,6,33,61,9.4,3.4,49.5,0
76,Jimmy Graham,CHI,34,TE,16,15,76,50,0.658,456,9.1,8,32,30,6,3.1,28.5,1
